id,keyword,freq
1,-eleven,1.0
2,-point,1.0
3,a-ball,1.0
4,a-process,1.0
5,a-system,1.0
6,a-tech,1.0
7,aaa,422.0
8,aaac,1.0
9,aac,4.0
10,aaccessories,1.0
11,aaccessory,1.0
12,aadjunctive,1.0
13,aaesthetic,1.0
14,aaffeybean,1.0
15,aalumus,4.0
16,aami,1.0
17,aan,1.0
18,aap,1.0
19,aape,1.0
20,aar,1.0
21,aarau,3.0
22,aaraus,2.0
23,aare,1.0
24,aaronia,16.0
25,aashto,2.0
26,aassembly,1.0
27,aatb,1.0
28,aba,2.0
29,ababa,4.0
30,abaca,21.0
31,abailable,108.0
32,abailablestandard,1.0
33,aball,1.0
34,abalone,35.0
35,abalony,43.0
36,abandomed,9.0
37,abandon,1.0
38,abandoned,4.0
39,abara,1.0
40,abatement,23.0
41,abatementghg,1.0
42,abattoir,1.0
43,abaya,6.0
44,abb,1.0
45,abbey,1.0
46,abbotment,2.0
47,abbott,4.0
48,abbrasive,1.0
49,abbreviation,55.0
50,abc,197.0
51,abcable,1.0
52,abcautomatic,1.0
53,abcdefg,1.0
54,abdellah,14.0
55,abdomen,167.0
56,abdominal,113.0
57,abdominali,1.0
58,abduction,3.0
59,abdul,40.0
60,abell,1.0
61,aberde,1.0
62,aberration,2.0
63,abertis,1.0
64,abide,1.0
65,ability,2510.0
66,abilityadvise,1.0
67,abilityblock,1.0
68,abilitycondenser,1.0
69,abilitydatum,3.0
70,abilityfire,1.0
71,abilityimprove,1.0
72,abilitylow,4.0
73,abilitymanage,1.0
74,abilitypatent,1.0
75,abilityproduce,1.0
76,abilityrecover,1.0
77,abilityseating,1.0
78,abilitysend,1.0
79,abilitytechnology,1.0
80,abio,1.0
81,abiogreen,1.0
82,abiotech,1.0
83,abiquif,1.0
84,abke,153.0
85,abl,95.0
86,ablate,1.0
87,ablation,1.0
88,ablative,12.0
89,able,4025.0
90,ableconnect,1.0
91,ableeffectively,1.0
92,ableensure,1.0
93,ableentry,1.0
94,ableexchange,1.0
95,ableget,1.0
96,ablejoystick,1.0
97,ablemonitor,2.0
98,ableproduce,1.0
99,ableseat,1.0
100,ablity,7.0
101,ablone,1.0
102,abnom,1.0
103,abnon,12.0
104,abnormal,451.0
105,abnormalities,5.0
106,abnormality,68.0
107,abnormalityoccur,1.0
108,abnormally,59.0
109,abnormallyturn,1.0
110,abnormalphenomenon,1.0
111,abnormalstate,1.0
112,abo,1.0
113,aboard,2.0
114,abol,1.0
115,aborad,1.0
116,aborb,1.0
117,aborber,1.0
118,aboriginal,1.0
119,aborption,50.0
120,aboskin,1.0
121,abosorb,1.0
122,abosorber,6.0
123,abosrben,1.0
124,abott,1.0
125,abound,3.0
126,about,35.0
127,above,37.0
128,aboveexpertise,1.0
129,abovefolding,1.0
130,aboveground,1.0
131,abovekorean,1.0
132,abp,27.0
133,abradant,7.0
134,abrade,1.0
135,abraham,1.0
136,abraision,35.0
137,abrasib,1.0
138,abrasioin,1.0
139,abrasion,1534.0
140,abrasion-proof,1.0
141,abrasion-resistant,7.0
142,abrasionbecome,1.0
143,abrasioncold,1.0
144,abrasioneco-friendly,1.0
145,abrasionprevent,1.0
146,abrasionvanewheel,1.0
147,abrasive,1251.0
148,abrasivegirt,2.0
149,abrasiveguarantee,1.0
150,abrasiveness,140.0
151,abrasiver,1.0
152,abrasives,6.0
153,abrasivesabrasive,1.0
154,abrassive,1.0
155,abre,1.0
156,abroad,564.0
157,abroadcontribution,2.0
158,abroadcrv,1.0
159,abroaddevelopment,1.0
160,abroadforeign,1.0
161,abroadframework,1.0
162,abroadindustry,1.0
163,abroadmarble,1.0
164,abroadthe,1.0
165,abrobsed,1.0
166,abrupt,1.0
167,abruptly,1.0
168,abs,131.0
169,abscisic,1.0
170,absence,300.0
